Date;Début;Fin;Titre;Salle;Site;Prof
2025-10-06;13:00;15:00;Administration réseaux;F104;Faure;
2025-10-06;15:00;17:00;Administration réseaux;F104;Faure;
2025-10-07;08:00;10:00;Admi. Poste clients Gestion Accès;F104;Faure;rouchaud philippe
2025-10-07;10:00;12:00;Admi. Poste clients Gestion Accès;F104;Faure;rouchaud philippe
2025-10-07;13:00;16:00;Administration réseaux;F106;Faure;
2025-10-08;08:00;10:00;PHP Framework Symfony;F109;Faure;
2025-10-08;10:00;12:00;PHP Framework Symfony;F109;Faure;
2025-10-08;13:00;15:00;Administration réseaux;F106;Faure;
2025-10-08;15:00;17:00;Administration réseaux;F106;Faure;
2025-10-09;08:00;10:00;Anglais : Environnement numérique & professionnel;F106;Faure;
2025-10-09;10:00;12:00;Anglais : Environnement numérique & professionnel;F106;Faure;
2025-10-09;13:00;15:00;Admi. Poste clients Gestion Accès;F104;Faure;rouchaud philippe
2025-10-09;15:00;17:00;Admi. Poste clients Gestion Accès;F104;Faure;rouchaud philippe
2025-10-10;08:00;10:00;Administration réseaux;F103;Faure;
2025-10-10;10:00;12:00;Administration réseaux;F103;Faure;
